code,name_fa,name_en,name_ru,name_local,country,is_border_crossing,trade_role,aliases,code_verified
46102,Sital-Chay,Sital-Chay,,,Azerbaijan,,,"Sital-Chay, AZE",false
,Solmanli (rzd),Solmanli (rzd),,,Azerbaijan,,,"Solmanli (rzd), AZE",false
,Soyuk-Bulak,Soyuk-Bulak,,,Azerbaijan,,,"Soyuk-Bulak, AZE",false
,Sultanly,Sultanly,,,Azerbaijan,,,"Sultanly, AZE",false
546405,Sumgait,Sumgait,,,Azerbaijan,,,"Sumgait, AZE",false
46418,Sumgait-Chai,Sumgait-Chai,,,Azerbaijan,,,"Sumgait-Chai, AZE",false
46441,Sumgait-Gorod,Sumgait-Gorod,,,Azerbaijan,,,"Sumgait-Gorod, AZE",false
546456,Sumgait-Noviy (rzd),Sumgait-Noviy (rzd),,,Azerbaijan,,,"Sumgait-Noviy (rzd), AZE",false
494601,Surakhani,Surakhani,,,Azerbaijan,,,"Surakhani, AZE",false
126,Tatlu,Tatlu,,,Azerbaijan,,,"Tatlu, AZE",false
,Tauz,Tauz,,,Azerbaijan,,,"Tauz, AZE",false
542,Tazakend (rzd),Tazakend (rzd),,,Azerbaijan,,,"Tazakend (rzd), AZE",false
54988,Ujary,Ujary,,,Azerbaijan,,,"Ujary, AZE",false
,Vatagi,Vatagi,,,Azerbaijan,,,"Vatagi, AZE",false
545006,Yalama,Yalama,,,Azerbaijan,,,"Yalama, AZE",false
4758,Yalama (exp.),Yalama (exp.),,,Azerbaijan,,,"Yalama (exp.), AZE",false
546706,Yashma,Yashma,,,Azerbaijan,,,"Yashma, AZE",false
726,Yeni-Surahany (rzd),Yeni-Surahany (rzd),,,Azerbaijan,,,"Yeni-Surahany (rzd), AZE",false
,Yevlah,Yevlah,,,Azerbaijan,,,"Yevlah, AZE",false
,Zabrat II,Zabrat II,,,Azerbaijan,,,"Zabrat II, AZE",false
47529,Zabrat II (rzd),Zabrat II (rzd),,,Azerbaijan,,,"Zabrat II (rzd), AZE",false
,Zakataly,Zakataly,,,Azerbaijan,,,"Zakataly, AZE",false
,Zangelan,Zangelan,,,Azerbaijan,,,"Zangelan, AZE",false
,Zazaly,Zazaly,,,Azerbaijan,,,"Zazaly, AZE",false
4588,Zirya (rzd),Zirya (rzd),,,Azerbaijan,,,"Zirya (rzd), AZE",false
7,Znoyniy (Hydyrly),Znoyniy (Hydyrly),,,Azerbaijan,,,"Znoyniy (Hydyrly), AZE",false
49806,Zorat,Zorat,,,Azerbaijan,,,"Zorat, AZE",false
15,Где-то в Азербайджане,Где-то в Азербайджане,,,Azerbaijan,,,"Где-то в Азербайджане, AZE",false
16276012,Adamovo,Adamovo,,,Belarusian,,,"Adamovo, BEL",false
149111,Aleksandrovka,Aleksandrovka,,,Belarusian,,,"Aleksandrovka, BEL",false
13335160,Alyonushka,Alyonushka,,,Belarusian,,,"Alyonushka, BEL",false
1616807,Alyoshcha,Alyoshcha,,,Belarusian,,,"Alyoshcha, BEL",false
1612702,Alyoshcha (exp.),Alyoshcha (exp.),,,Belarusian,,,"Alyoshcha (exp.), BEL",false
1362749,Andryeyevichy,Andryeyevichy,,,Belarusian,,,"Andryeyevichy, BEL",false
1568275,Apollonovka,Apollonovka,,,Belarusian,,,"Apollonovka, BEL",false
144832,Aseyevka,Aseyevka,,,Belarusian,,,"Aseyevka, BEL",false
1353581,Auls,Auls,,,Belarusian,,,"Auls, BEL",false
1544275,Babychy,Babychy,,,Belarusian,,,"Babychy, BEL",false
138981,Baranovichi-Polyesskye,Baranovichi-Polyesskye,,,Belarusian,,,"Baranovichi-Polyesskye, BEL",false
1384357,Baranovichi-Severniye (Northern),Baranovichi-Severniye (Northern),,,Belarusian,,,"Baranovichi-Severniye (Northern), BEL",false
138507,Baranovychy-Tsentralnye,Baranovychy-Tsentralnye,,,Belarusian,,,"Baranovychy-Tsentralnye, BEL",false
167116,Baravuha,Baravuha,,,Belarusian,,,"Baravuha, BEL",false
1514608,Barbarov,Barbarov,,,Belarusian,,,"Barbarov, BEL",false
156134,Barsuki,Barsuki,,,Belarusian,,,"Barsuki, BEL",false
1378605,Bastuny,Bastuny,,,Belarusian,,,"Bastuny, BEL",false
143609,Belarus,Belarus,,,Belarusian,,,"Belarus, BEL",false
1335804,Beloozyorsk,Beloozyorsk,,,Belarusian,,,"Beloozyorsk, BEL",false
1598805,Belynkovychy,Belynkovychy,,,Belarusian,,,"Belynkovychy, BEL",false
159306,Belynkovychy (exp.),Belynkovychy (exp.),,,Belarusian,,,"Belynkovychy (exp.), BEL",false
1379809,Benyakonye,Benyakonye,,,Belarusian,,,"Benyakonye, BEL",false
136605,Benyakonye (exp.),Benyakonye (exp.),,,Belarusian,,,"Benyakonye (exp.), BEL",false
136708,Berestovitsa,Berestovitsa,,,Belarusian,,,"Berestovitsa, BEL",false
1363604,Berestovitsa (exp.),Berestovitsa (exp.),,,Belarusian,,,"Berestovitsa (exp.), BEL",false
13160809,Bernadi,Bernadi,,,Belarusian,,,"Bernadi, BEL",false
133576060,Beryoza Kartuzskaya,Beryoza Kartuzskaya,,,Belarusian,,,"Beryoza Kartuzskaya, BEL",false
1477603,Beryozina,Beryozina,,,Belarusian,,,"Beryozina, BEL",false
1562712,Beryozki,Beryozki,,,Belarusian,,,"Beryozki, BEL",false
161768,Bigosovo,Bigosovo,,,Belarusian,,,"Bigosovo, BEL",false
161461,Bigosovo (exp.),Bigosovo (exp.),,,Belarusian,,,"Bigosovo (exp.), BEL",false
161698,Bigosovo butt joint,Bigosovo butt joint,,,Belarusian,,,"Bigosovo butt joint, BEL",false
166719,Blokposts Nr. 2,Blokposts Nr. 2,,,Belarusian,,,"Blokposts Nr. 2, BEL",false
14186080,Bobr,Bobr,,,Belarusian,,,"Bobr, BEL",false
1647608,Bobrovniki,Bobrovniki,,,Belarusian,,,"Bobrovniki, BEL",false
1476008,Bobruysk,Bobruysk,,,Belarusian,,,"Bobruysk, BEL",false
143717,Bogatyrevo,Bogatyrevo,,,Belarusian,,,"Bogatyrevo, BEL",false
16275606,Bogdanov,Bogdanov,,,Belarusian,,,"Bogdanov, BEL",false
16274460,Bogdanov-Styk,Bogdanov-Styk,,,Belarusian,,,"Bogdanov-Styk, BEL",false
1676801,Bogushevskaya,Bogushevskaya,,,Belarusian,,,"Bogushevskaya, BEL",false
1352758,Bokuny,Bokuny,,,Belarusian,,,"Bokuny, BEL",false
159845,Boni,Boni,,,Belarusian,,,"Boni, BEL",false
1414606,Borisov,Borisov,,,Belarusian,,,"Borisov, BEL",false
161988,Borkovichi,Borkovichi,,,Belarusian,,,"Borkovichi, BEL",false
1651803,Borovoye,Borovoye,,,Belarusian,,,"Borovoye, BEL",false
137129,Borovtzy,Borovtzy,,,Belarusian,,,"Borovtzy, BEL",false
130308,Brest-Polesskiy,Brest-Polesskiy,,,Belarusian,,,"Brest-Polesskiy, BEL",false
